4.768,0.054,0.372,-0.089,0.078,-0.188,0.049,-0.132,-0.318,-0.587
3.604,2.799,-0.601,0.404,0.141,-0.404,0.025,-0.399,-0.568,0.249
3.604,2.799,-0.601,0.404,0.141,-0.404,0.025,-0.399,-0.568,0.249
2.589,2.963,-0.591,-0.086,-0.141,0.037,0.082,-0.046,-0.422,-0.218
2.991,-1.117,-1.130,0.560,0.053,-0.162,-0.032,-0.149,-0.471,0.806
2.250,-1.285,-0.705,0.489,-0.110,0.079,0.039,-0.014,-0.423,-0.038
2.588,2.868,-0.592,-0.026,-0.114,0.062,0.023,-0.128,-0.450,-0.085
3.261,-1.140,-0.004,-0.246,-0.184,0.337,-0.013,0.169,-0.274,-0.509
2.250,-1.285,-0.705,0.489,-0.110,0.079,0.039,-0.014,-0.423,-0.038
2.471,3.066,-1.763,0.315,0.046,-0.191,-0.080,-0.322,-0.560,1.457
3.538,-1.283,0.414,0.053,-0.119,0.086,0.118,0.115,-0.316,-1.152
4.768,0.054,0.372,-0.089,0.078,-0.188,0.049,-0.132,-0.318,-0.587
